id,sic_id,club_id,entity_name,level,category,region,province,city,address,cap,primary_email,email_type,primary_phone,phone_secondary,website,servitore_insegnante,coordination_entity,families_count,meeting_day,meeting_time,outreach_status,outreach_step,last_contact_at,unsubscribe_token,unsubscribed_at,notes,created_at,updated_at
11,SIC-ACAT-BOLOGNA-BO,11,ACAT Bologna ODV,TERRITORIAL,ACAT,Emilia-Romagna,BO,Bologna,,,arcatemiliaromagna@gmail.com,COORDINATION_INHERITED,346 2176182,,https://www.acatbolognaalcool.it,,APCAT Bologna Città e Provincia,85,,,UNCONTACTED,0,,d7331f49a2fd49967359294eeee668c8,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
12,SIC-8GXV4C48-Z1QWP0DP-J,12,ARCAT Emilia Romagna ODV,REGIONAL,ARCAT,Emilia-Romagna,,Bologna,Via Matilde Serao 11,,arcatemiliaromagna@gmail.com,DIRECT,346 2176182,,https://www.arcatemiliaromagna.com,,ARCAT Emilia Romagna ODV,1200,,,UNCONTACTED,0,,7cef27fb55258f2274cff8cfd05830a8,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
13,SIC-033HKY02-08M70VZH-N,13,Cervia (club n° 165),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Cervia,"Viale Abruzzi, 53 Pinarella",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,11,,,UNCONTACTED,0,,bf29a06e0827eaa7dc124543ad9c4d29,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
14,SIC-8A06GY1M-GCQQNXPV-P,14,"ACAT Romagna ""Renato Bolognesi"" ODV",TERRITORIAL,ACAT,Emilia-Romagna,FC,Cesena,,,arcat.emiliaromagna@gmail.com,COORDINATION_INHERITED,346 2176182,,https://www.acatromagna.com,,ARCAT Emilia-Romagna,85,,,UNCONTACTED,0,,ca6ff7ee6413b461b220e00ac52a5ff6,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
15,SIC-RFD2RBCT-DV8TB1KN-Y,15,Cesena Centro (club n° 11),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Cesena,"Sede Volonta Romagna - Via Serraglio, 18",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,873e91bfa1c007188318b946334729e8,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
16,SIC-T58TM2J5-SF90G8MK-G,16,Cesena Oltresavio (club n° 152),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Cesena,"Sede quartiere Oltresavio - Via Pistoia, 58",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,10,,,UNCONTACTED,0,,5321b12de2166238f3a555cf047242e9,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
17,SIC-GTTFK8M4-60N4MVGA-J,17,Faenza - Circolo I Fiori (club n° 86),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Faenza,"Circolo I Fiori - Via di Sopra, 34",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,858f759101d674d2215fdc82848a5fe8,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
18,SIC-VYBEJB7H-0E697RT5-Z,18,Faenza - Il Borgo (club n° 97),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Faenza,"Centro Sociale Il Borgo - Via Saviotti, 1",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,3d7b002ac91334fcc33a2ccf50757e74,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
19,SIC-3FCT38TC-DERK7WR5-F,19,Forlimpopoli (club n° 102),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Forlimpopoli,"Via Duca d’Aosta, 33",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,f49dd6728188d11612c1816652b3f16b,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
20,SIC-K40X41YD-QZFRD4RP-W,20,Forlì - Club 1 (club n° 1),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Forlì,"Via Orceoli, 15",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,10,,,UNCONTACTED,0,,b392eb00ed030d16db8328e9681adb8c,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
21,SIC-F0FEWN5F-CAJHC8Z4-4,21,Forlì - Club 22 (club n° 22),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Forlì,"Via Orceoli, 15",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,1a18dac7cff47cea27456f3417bc9ee4,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
22,SIC-MD06VN0F-80NWEKYE-X,22,Longiano (club n° 159),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Longiano,"Via Lettonia, 26 - Ponte Ospedaletto",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,11,,,UNCONTACTED,0,,0fa8c34b3950d75e66cd9363fb464beb,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
23,SIC-G4NVX6NH-M3BVGYAF-A,23,Lugo (club n° 164),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Lugo,"Via Francesco Bosi, 32",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,d6779f9a76973180cb107b2d37b7a07e,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
24,SIC-BZGGT3A4-Z34X8N2B-4,24,Martorano (club n° 113),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Martorano,"Sede Quartiere Ravennate - Via T. Galimberti, 75",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,10,,,UNCONTACTED,0,,f32457b9928d37b41c5b0df137622fa4,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
25,SIC-ID-AF7E66007939,25,ARCAT Emilia Romagna ODV,REGIONAL,ARCAT,Emilia-Romagna,FO,Mercato Saraceno,Via Matilde Serao 11,,arcatemiliaromagna92@gmail.com,DIRECT,346 2176182,,,,ARCAT Emilia Romagna ODV,1200,,,UNCONTACTED,0,,d0f97e65a7a1f0a210dab3fdbe228c0a,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
26,SIC-PA9QV4RE-J9QFGQXP-5,26,Mercato Saraceno (club n° 158),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Mercato Saraceno,Ospedale “Cappelli” - Sala Riunioni - 3° Piano,,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,10,,,UNCONTACTED,0,,4e1c6c6b6d647229ccb280f029b662e3,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
27,SIC-ACAT-MODENA-MO,27,ACAT Modena ODV,TERRITORIAL,ACAT,Emilia-Romagna,MO,Modena,,,apcatmodena@gmail.com,COORDINATION_INHERITED,059 221234,,https://www.acatmodena.org,,APCAT Modena,85,,,UNCONTACTED,0,,d9b0b26d69646d6be82573f33c2bdd0b,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
28,SIC-ACAT-PARMA-PR,28,"ACAT Parma ""Il Volo"" ODV",TERRITORIAL,ACAT,Emilia-Romagna,PR,Parma,,,apcatparma@gmail.com,COORDINATION_INHERITED,0521 281234,,https://acatparma.org,,APCAT Parma,85,,,UNCONTACTED,0,,4645fdd7cc3ff5a4cf6f5d8cbb2ad384,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
29,SIC-ID-CC3988FD27AA,29,ACAT Piacenza,TERRITORIAL,ACAT,Emilia-Romagna,PI,Piacenza,Galleria San Donnino 4,,apcatpisa@gmail.com,COORDINATION_INHERITED,349 0889290,,https://acatpiacenza.jimdofree.com,,APCAT Pisa e Litorale Toscano,85,,,UNCONTACTED,0,,44fe566bb031e754c4ddbd44405b812c,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
30,SIC-B715FR9E-A1Q6157Y-S,30,ACAT Piacenza ODV,TERRITORIAL,ACAT,Emilia-Romagna,PC,Piacenza,Galleria San Donnino 4,,arcat.emiliaromagna@gmail.com,COORDINATION_INHERITED,349 0889290,,https://acatpiacenza.jimdofree.com,,ARCAT Emilia-Romagna,85,,,UNCONTACTED,0,,1239f48ed11c963ae60eb5d92f4393a7,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
31,SIC-Y76TGS8E-MTGTGPQK-9,31,Ravenna (club n° 132),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Ravenna,"Via Oriani, 44",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,11,,,UNCONTACTED,0,,6f3f7ae29616bfcee5ddf17a5056776a,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
32,SIC-YPJMNK4F-SEJ9V1JQ-5,32,Rimini (club n° 37),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Rimini,"Centro Alcool e Fumo - V.le Settembrini, 2",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,11,,,UNCONTACTED,0,,66f737017aa42fa222540dfd25ba6075,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
33,SIC-AXXS3090-MKXATT4Y-3,33,San Carlo (club n° 160),LOCAL_CLUB,CAT,Emilia-Romagna,FO,San Carlo,"Sede Quartiere Vallesavio - Via Castiglione, 37",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,2b4de4506dba736c68a49ce6552db3dd,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
34,SIC-J9RGWDBP-KXVYN3J9-G,34,San Giovanni in Marignano (club n° 47),LOCAL_CLUB,CAT,Emilia-Romagna,FO,San Giovanni in Marignano,"Via Ferrara, 12",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,11,,,UNCONTACTED,0,,56beec0b416b55a5a95fd4a0d81cd88d,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
35,SIC-JREBJKAR-P91FFCVE-0,35,San Piero in Bagno - Altosavio (club n° 161),LOCAL_CLUB,CAT,Emilia-Romagna,FO,San Piero in Bagno,"Sede AVIS - Via Cesare Battisti, 72",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,11,,,UNCONTACTED,0,,621282a765bebd44bec95435a52b9dbb,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
36,SIC-RMYVW9N3-HX0XK2D7-8,36,Sant'Egidio (club n° 112),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Sant'Egidio,"Parrocchia - Via Chiesa di Sant’Egidio, 110",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,11,,,UNCONTACTED,0,,7652ba7d84583845cc638e44f9b6e5dd,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
37,SIC-3EZD5EWR-KRKPC4JS-X,37,Santarcangelo di Romagna - Il gabbiano (club n° 20),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Santarcangelo di Romagna,"Via Andrea Costa, 30",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,20697d1fad63706fb17f99ea4efe85be,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
38,SIC-J3PFETBW-QS1Y4F12-Y,38,Sarsina (club n° 163),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Sarsina,"Teatro Silvio Pellico - Via Roma, 3",,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,35303aac6730eb0a772631ec013139f2,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
39,SIC-2E7WJK8T-FYT7NP6D-P,39,Savignano s/R (club n° 162),LOCAL_CLUB,CAT,Emilia-Romagna,FO,Savignano sul Rubicone,Sede Casa delle Associazioni Villa Perticari,,arcatemiliaromagna92@gmail.com,COORDINATION_INHERITED,346 2176182,,,,ARCAT Emilia Romagna ODV,12,,,UNCONTACTED,0,,f6d9c16c881a8d7f02d4a802901c03a6,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
40,SIC-ID-A49184A55957,40,ARCAT Friuli,REGIONAL,ARCAT,Friuli-Venezia Giulia,,,,,segreteria@arcatfvg.it,COORDINATION_INHERITED,0432 505505,,,,ARCAT Friuli-Venezia Giulia,1800,,,UNCONTACTED,0,,697485c93a76977d30844916f5e8ce09,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
41,SIC-VX8N58C3-8WGE32JF-C,41,"CLUB 276 ""PAR STA MIOR""",LOCAL_CLUB,CAT,Friuli-Venezia Giulia,UD,Aquileia,,,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatcervignanese.it/,,APCAT Udine e Friuli Centrale,11,,,UNCONTACTED,0,,ea04d530a4bf8b45b0390b9d4af28902,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
42,SIC-ACAT-CERVIGNANO-UD,42,ACAT Cervignanese,TERRITORIAL,ACAT,Friuli-Venezia Giulia,UD,Cervignano del Friuli,,,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatcervignanese.it,,APCAT Udine e Friuli Centrale,85,,,UNCONTACTED,0,,5d1c54b844bc24ea99765d8914c3b309,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
43,SIC-FAGF3CEG-7DK6JFYG-P,43,"CLUB 358 ""PRIMAVERA DI VITA""",LOCAL_CLUB,CAT,Friuli-Venezia Giulia,UD,Cervignano del Friuli,Via Trieste 25 c/o Sala Civica,,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatcervignanese.it/,,APCAT Udine e Friuli Centrale,11,,,UNCONTACTED,0,,277a837e014d32fe3dda7ba202d30ecb,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
44,SIC-ZSNHWJ95-VD7YNJNY-X,44,"CLUB 243 ""INSIEME PER UNA VITA MIGLIORE""",LOCAL_CLUB,CAT,Friuli-Venezia Giulia,UD,Fiumicello Villa Vicentina,Via Nazionale 31 c/o ex Scuola Papariano,,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatcervignanese.it/,,APCAT Udine e Friuli Centrale,12,,,UNCONTACTED,0,,2277d1e271cefb8dae629781d7088125,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
45,SIC-ACAT-GORIZIA-GO,45,ACAT Goriziana APS,TERRITORIAL,ACAT,Friuli-Venezia Giulia,GO,Gorizia,,,apcatgorizia@virgilio.it,COORDINATION_INHERITED,0481 531234,,https://www.acatgorizia.org,,APCAT Gorizia e Isontino,85,,,UNCONTACTED,0,,6a7f599cf5e93e4f7992730a32059bf0,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
46,SIC-ACAT-PORDENONE-PN,46,ACAT Pordenonese APS,TERRITORIAL,ACAT,Friuli-Venezia Giulia,PN,Pordenone,,,apcatpordenone@gmail.com,COORDINATION_INHERITED,0434 365432,,https://www.acatpordenonese.it,,APCAT Pordenone ODV,85,,,UNCONTACTED,0,,bc6ec31c021b2fbb8ad036b59b3bd0d7,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
47,SIC-V51D3DX4-XNCQNEYG-B,47,"CLUB 352 ""AURORA""",LOCAL_CLUB,CAT,Friuli-Venezia Giulia,UD,Ruda,"Sala gruppo sportivo, San Nicolò",,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatcervignanese.it/,,APCAT Udine e Friuli Centrale,12,,,UNCONTACTED,0,,70b4d65da769d5ed4272eefefabecda1,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
48,SIC-ACAT-LIVENZA-PN,48,ACAT Livenza,TERRITORIAL,ACAT,Friuli-Venezia Giulia,PN,Sacile,,,info@acatlivenza.it,DIRECT,0434 365432,,https://www.acatlivenza.it,,ACAT Livenza,85,,,UNCONTACTED,0,,a3aee25b8b0a41c71f2c25d90f2536eb,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
49,SIC-SRWJEWVX-AW9AT8YK-9,49,"CLUB 100 ""OGGI PER DOMANI""",LOCAL_CLUB,CAT,Friuli-Venezia Giulia,UD,San Vito al Torre,,,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatcervignanese.it/,,APCAT Udine e Friuli Centrale,12,,,UNCONTACTED,0,,ab63db756f32ad58918d0b7ffc491076,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
50,SIC-YJ4VEKAQ-8925ZWM1-0,50,"CLUB 327 ""DIAMOCI UNA MANO""",LOCAL_CLUB,CAT,Friuli-Venezia Giulia,UD,Terzo di Aquileia,,,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatcervignanese.it/,,APCAT Udine e Friuli Centrale,12,,,UNCONTACTED,0,,209fd0261c35cce9a6463fdd448c4da5,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
51,SIC-ACAT-UDINESE-UD,51,ACAT Udinese,TERRITORIAL,ACAT,Friuli-Venezia Giulia,UD,Udine,,,apcatudine@gmail.com,COORDINATION_INHERITED,0432 501234,,https://www.acatudinese.it,,APCAT Udine e Friuli Centrale,85,,,UNCONTACTED,0,,46f5d4d53847cd4eed6be4eaa24a2106,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
52,SIC-YSTTB8RX-P54Q4HAX-K,52,AICAT (Sede Operativa e Formazione),NATIONAL,AICAT,Friuli-Venezia Giulia,UD,Udine,,,segreteria@aicat.net,DIRECT,0432 501234,,https://www.aicat.net,,AICAT (Sede Operativa e Formazione),18500,,,UNCONTACTED,0,,9d13c08e5b3fc10b268596b3ce58f6cb,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
53,SIC-2KT4SVM9-3648P2M5-4,53,ARCAT FVG APS,REGIONAL,ARCAT,Friuli-Venezia Giulia,UD,Udine,"Via Chisimaio, 40",,info@arcatfvg.it,DIRECT,335 244550,,https://www.arcatfvg.it,,ARCAT FVG APS,650,,,UNCONTACTED,0,,6daa5b524665ba78b9293309340e3598,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
54,SIC-A5AE0RB4-VN6Z09JB-X,54,AICAT - Associazione Italiana dei Club Alcologici Territoriali,NATIONAL,AICAT,Friuli-Venezia Giulia,UD,Udine,"Via Chisimaio, 40",,segreteria@aicat.net,DIRECT,800 974250 (Numero Verde) · 0432 123456,,https://www.aicat.net,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,18500,,,UNCONTACTED,0,,41f75b65efcf67f66fc44bd6e589b101,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
55,SIC-ID-C9F7A0285A20,55,AICAT - Associazione Italiana dei Club Alcologici Territoriali,NATIONAL,AICAT,Veneto,PD,Udine / Padova,"Sede legale: Via Chisimaio 40, Udine; sede operativa: Via Cave 178, Padova",,segreteria@aicat.net,DIRECT,366 3625248,,https://aicat.net/,,AICAT - Associazione Italiana dei Club Alcologici Territoriali,18500,,,UNCONTACTED,0,,e0808d4362e9c336323093dfc1543ed5,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
56,SIC-ID-37D3A46BD92C,56,ARCAT Regione Lazio,REGIONAL,ARCAT,Lazio,LA,Aprilia,Via Carano 21,,arcatregionelazio@gmail.com,DIRECT,392 2766030,,,,ARCAT Regione Lazio,650,,,UNCONTACTED,0,,f30938fa32655c6c10473b2ea1752564,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
57,SIC-CAT-ROMASUD-RM,57,Gruppi di Ascolto CAT (Roma Sud / Castelli Romani),TERRITORIAL,CAT,Lazio,RM,Ciampino / Castel Gandolfo,,,apcatroma@gmail.com,COORDINATION_INHERITED,06 8541234,,,,APCAT Roma Capitale e Rete Metropolitana,85,,,UNCONTACTED,0,,e29614e9d060d87479c19a594ed56def,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
58,SIC-ACAT-CIOCIARIA-FR,58,ACAT Ciociaria,TERRITORIAL,ACAT,Lazio,FR,Frosinone,,,apcatfrosinone@gmail.com,COORDINATION_INHERITED,0775 821234,,https://www.acatciociaria.it,,APCAT Frosinone e Ciociaria,85,,,UNCONTACTED,0,,7f80fbf0b2ae147bee2b8c405ee24672,,Censimento 2026 · COORDINATION_INHERITED,2026-09-20 15:28:22,2026-09-20 15:28:22
59,SIC-APCAT-EE9AE857-D7EA2A25,59,APCAT Latina,PROVINCIAL_APCAT,APCAT,Lazio,LT,Latina,Via Feronia 8,04100,apcatlatinaodv@gmail.com,DIRECT,0773 661962,339 5432109,https://aicat.net,,APCAT Latina,220,Martedì / Venerdì,20:00,UNCONTACTED,0,,7133f4573beb3ff823c4c27bdda6d430,,Censimento 2026 · DIRECT,2026-09-20 15:28:22,2026-09-20 15:28:22
