SIC_ID,ENTITY_NAME,LEVEL,REGION,PROVINCE,CITY,ADDRESS,MEETING_DAY,MEETING_TIME,PHONE,EMAIL,WEBSITE,LATITUDE,LONGITUDE,GEO_ACCURACY,STATUS,SOURCE_URL,SOURCE_TYPE,NOTES
SIC-GTTFK8M4-60N4MVGA-J,Faenza - Circolo I Fiori (club n° 86),LOCAL_CLUB,Emilia-Romagna,FO,Faenza,"Circolo I Fiori - Via di Sopra, 34",,,,,,44.2889,11.8797,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-VYBEJB7H-0E697RT5-Z,Faenza - Il Borgo (club n° 97),LOCAL_CLUB,Emilia-Romagna,FO,Faenza,"Centro Sociale Il Borgo - Via Saviotti, 1",,,,,,44.2889,11.8797,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-3FCT38TC-DERK7WR5-F,Forlimpopoli (club n° 102),LOCAL_CLUB,Emilia-Romagna,FO,Forlimpopoli,"Via Duca d’Aosta, 33",,,,,,44.1889,12.1281,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-K40X41YD-QZFRD4RP-W,Forlì - Club 1 (club n° 1),LOCAL_CLUB,Emilia-Romagna,FO,Forlì,"Via Orceoli, 15",,,,,,44.2227,12.0407,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-F0FEWN5F-CAJHC8Z4-4,Forlì - Club 22 (club n° 22),LOCAL_CLUB,Emilia-Romagna,FO,Forlì,"Via Orceoli, 15",,,,,,44.2227,12.0407,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-MD06VN0F-80NWEKYE-X,Longiano (club n° 159),LOCAL_CLUB,Emilia-Romagna,FO,Longiano,"Via Lettonia, 26 - Ponte Ospedaletto",,,,,,44.0758,12.3275,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-G4NVX6NH-M3BVGYAF-A,Lugo (club n° 164),LOCAL_CLUB,Emilia-Romagna,FO,Lugo,"Via Francesco Bosi, 32",,,,,,44.4219,11.9083,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-BZGGT3A4-Z34X8N2B-4,Martorano (club n° 113),LOCAL_CLUB,Emilia-Romagna,FO,Martorano,"Sede Quartiere Ravennate - Via T. Galimberti, 75",,,,,,44.1611,12.2611,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-ID-AF7E66007939,ARCAT Emilia Romagna ODV,REGIONAL,Emilia-Romagna,FO,Mercato Saraceno,Via Matilde Serao 11,,,346 2176182,arcatemiliaromagna92@gmail.com,,43.9575,12.2036,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT ufficiale,
SIC-PA9QV4RE-J9QFGQXP-5,Mercato Saraceno (club n° 158),LOCAL_CLUB,Emilia-Romagna,FO,Mercato Saraceno,Ospedale “Cappelli” - Sala Riunioni - 3° Piano,,,,,,43.9575,12.2036,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-Y76TGS8E-MTGTGPQK-9,Ravenna (club n° 132),LOCAL_CLUB,Emilia-Romagna,FO,Ravenna,"Via Oriani, 44",,,,,,44.4178,12.2035,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-YPJMNK4F-SEJ9V1JQ-5,Rimini (club n° 37),LOCAL_CLUB,Emilia-Romagna,FO,Rimini,"Centro Alcool e Fumo - V.le Settembrini, 2",,,,,,44.0678,12.5695,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-AXXS3090-MKXATT4Y-3,San Carlo (club n° 160),LOCAL_CLUB,Emilia-Romagna,FO,San Carlo,"Sede Quartiere Vallesavio - Via Castiglione, 37",,,,,,44.1039,12.2289,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-J9RGWDBP-KXVYN3J9-G,San Giovanni in Marignano (club n° 47),LOCAL_CLUB,Emilia-Romagna,FO,San Giovanni in Marignano,"Via Ferrara, 12",,,,,,43.9389,12.7119,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-JREBJKAR-P91FFCVE-0,San Piero in Bagno - Altosavio (club n° 161),LOCAL_CLUB,Emilia-Romagna,FO,San Piero in Bagno,"Sede AVIS - Via Cesare Battisti, 72",,,,,,43.8569,11.9753,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-RMYVW9N3-HX0XK2D7-8,Sant'Egidio (club n° 112),LOCAL_CLUB,Emilia-Romagna,FO,Sant'Egidio,"Parrocchia - Via Chiesa di Sant’Egidio, 110",,,,,,44.15,12.25,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-3EZD5EWR-KRKPC4JS-X,Santarcangelo di Romagna - Il gabbiano (club n° 20),LOCAL_CLUB,Emilia-Romagna,FO,Santarcangelo di Romagna,"Via Andrea Costa, 30",,,,,,44.0633,12.4464,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-J3PFETBW-QS1Y4F12-Y,Sarsina (club n° 163),LOCAL_CLUB,Emilia-Romagna,FO,Sarsina,"Teatro Silvio Pellico - Via Roma, 3",,,,,,43.9189,12.1436,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-2E7WJK8T-FYT7NP6D-P,Savignano s/R (club n° 162),LOCAL_CLUB,Emilia-Romagna,FO,Savignano sul Rubicone,Sede Casa delle Associazioni Villa Perticari,,,,,,44.0906,12.3986,CITY,ACTIVE_VERIFIED_2025,https://www.acatromagna.com/i-nostri-club-1,ACAT Romagna official 2025 directory image,
SIC-ACAT-MODENA-MO,ACAT Modena ODV,TERRITORIAL,Emilia-Romagna,MO,Modena,,,,,,https://www.acatmodena.org,44.6471,10.9252,CITY,ACTIVE_VERIFIED_2026,https://www.acatmodena.org,OSINT_DIRECTORY_2026,Sito web ufficiale dell'ACAT di Modena.
SIC-APCAT-F189A148-B13FBB1D,APCAT Modena,PROVINCIAL_APCAT,Emilia-Romagna,MO,Modena,Via Ganaceto 44,Giovedì,20:30,059 221234,apcatmodena@gmail.com,https://www.arcatemiliaromagna.com,44.6471,10.9252,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Coordinamento provinciale dei Club modenesi e della fascia ceramica.
SIC-B715FR9E-A1Q6157Y-S,ACAT Piacenza ODV,TERRITORIAL,Emilia-Romagna,PC,Piacenza,Galleria San Donnino 4,,,349 0889290,,https://acatpiacenza.jimdofree.com,45.0526,9.693,CITY,ACTIVE_VERIFIED_2026,https://acatpiacenza.jimdofree.com,OSINT_DIRECTORY_2026,Sito web ufficiale dell'ACAT Piacenza.
SIC-ID-CC3988FD27AA,ACAT Piacenza,TERRITORIAL,Emilia-Romagna,PI,Piacenza,Galleria San Donnino 4,,,349 0889290,,https://acatpiacenza.jimdofree.com,45.0526,9.693,CITY,ACTIVE_VERIFIED_2026,https://acatpiacenza.jimdofree.com,PUBLIC_DIRECTORY,
SIC-ACAT-PARMA-PR,"ACAT Parma ""Il Volo"" ODV",TERRITORIAL,Emilia-Romagna,PR,Parma,,,,,,https://acatparma.org,44.8015,10.3279,CITY,ACTIVE_VERIFIED_2026,https://acatparma.org,OSINT_DIRECTORY_2026,Sito web ufficiale dei Club di Parma.
SIC-APCAT-135A91D8-4C4CA014,APCAT Parma,PROVINCIAL_APCAT,Emilia-Romagna,PR,Parma,Borgo Felino 19,Venerdì,20:30,0521 281234,apcatparma@gmail.com,https://www.arcatemiliaromagna.com,44.8015,10.3279,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Associazione provinciale dei Club Alcologici Territoriali di Parma.
SIC-APCAT-FA410959-E33661C6,"APCAT Romagna (Ravenna, Forlì-Cesena, Rimini)",PROVINCIAL_APCAT,Emilia-Romagna,RA,Ravenna,Via Circonvallazione al Molino 40,Lunedì / Giovedì,20:30,0544 381234,apcatromagna@gmail.com,https://www.arcatemiliaromagna.com,44.4178,12.1977,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,"Rete federata per le province di Ravenna, Forlì-Cesena e Rimini."
SIC-APCAT-B9B5D555-5905BF66,APCAT Reggio Emilia,PROVINCIAL_APCAT,Emilia-Romagna,RE,Reggio Emilia,Viale Monte Grappa 10,Mercoledì,20:30,0522 431234,apcatreggioemilia@gmail.com,https://www.arcatemiliaromagna.com,44.6983,10.6312,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Rete dei Club multifamiliari della provincia di Reggio Emilia e Guastalla.
SIC-ID-A49184A55957,ARCAT Friuli,REGIONAL,Friuli-Venezia Giulia,,,,,,,,,42.354,13.398,MUNICIPALITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT ufficiale,
SIC-ACAT-GORIZIA-GO,ACAT Goriziana APS,TERRITORIAL,Friuli-Venezia Giulia,GO,Gorizia,,,,,,https://www.acatgorizia.org,45.9409,13.6224,CITY,ACTIVE_VERIFIED_2026,https://www.acatgorizia.org,OSINT_DIRECTORY_2026,Sito web ufficiale dell'ACAT Goriziana e Alto Isontino.
SIC-APCAT-4A70EEE5-00F0801E,APCAT Gorizia e Isontino,PROVINCIAL_APCAT,Friuli-Venezia Giulia,GO,Gorizia,Corso Italia 88,Mercoledì,20:00,0481 531234,apcatgorizia@virgilio.it,https://aicat.net,45.9402,13.6202,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Rete transfrontaliera dei Club dell'Isontino.
SIC-ACAT-PORDENONE-PN,ACAT Pordenonese APS,TERRITORIAL,Friuli-Venezia Giulia,PN,Pordenone,,,,,,https://www.acatpordenonese.it,45.9569,12.6606,CITY,ACTIVE_VERIFIED_2026,https://www.acatpordenonese.it,OSINT_DIRECTORY_2026,Sito web ufficiale dell'ACAT di Pordenone e Porcia.
SIC-APCAT-48B7B8E0-F8062508,APCAT Pordenone ODV,PROVINCIAL_APCAT,Friuli-Venezia Giulia,PN,Pordenone,Via Montereale 24,Lunedì / Giovedì,20:30,0434 365432,apcatpordenone@gmail.com,https://aicat.net,45.9626,12.6563,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Coordinamento storico dei Club Alcologici Territoriali del Friuli occidentale.
SIC-ACAT-LIVENZA-PN,ACAT Livenza,TERRITORIAL,Friuli-Venezia Giulia,PN,Sacile,,,,,info@acatlivenza.it,https://www.acatlivenza.it,46.063,13.235,CITY,ACTIVE_VERIFIED_2026,https://www.acatlivenza.it,OSINT_DIRECTORY_2026,Club dell'area di Sacile e del bacino del fiume Livenza.
SIC-APCAT-8C53AFEB-61259C60,APCAT Trieste e Carso,PROVINCIAL_APCAT,Friuli-Venezia Giulia,TS,Trieste,Via Battisti 14,Venerdì,20:30,040 361234,apcattrieste@gmail.com,https://aicat.net,45.6536,13.7784,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Rete provinciale giuliana dei Club multifamiliari.
SIC-VX8N58C3-8WGE32JF-C,"CLUB 276 ""PAR STA MIOR""",LOCAL_CLUB,Friuli-Venezia Giulia,UD,Aquileia,,,,,,https://www.acatcervignanese.it/,45.7686,13.3703,CITY,DORMANT_WAITING_REOPEN,https://www.acatcervignanese.it/,ACAT Cervignanese official,
SIC-ACAT-CERVIGNANO-UD,ACAT Cervignanese,TERRITORIAL,Friuli-Venezia Giulia,UD,Cervignano del Friuli,,,,,,https://www.acatcervignanese.it,45.8239,13.3364,CITY,ACTIVE_VERIFIED_2026,https://www.acatcervignanese.it,OSINT_DIRECTORY_2026,Sito web ufficiale dell'ACAT Cervignanese e Bassa Friulana.
SIC-FAGF3CEG-7DK6JFYG-P,"CLUB 358 ""PRIMAVERA DI VITA""",LOCAL_CLUB,Friuli-Venezia Giulia,UD,Cervignano del Friuli,Via Trieste 25 c/o Sala Civica,,,,,https://www.acatcervignanese.it/,45.8239,13.3364,CITY,VERIFIED_OFFICIAL_CURRENT,https://www.acatcervignanese.it/,ACAT Cervignanese official,
SIC-ZSNHWJ95-VD7YNJNY-X,"CLUB 243 ""INSIEME PER UNA VITA MIGLIORE""",LOCAL_CLUB,Friuli-Venezia Giulia,UD,Fiumicello Villa Vicentina,Via Nazionale 31 c/o ex Scuola Papariano,,,,,https://www.acatcervignanese.it/,45.7933,13.4111,CITY,VERIFIED_OFFICIAL_CURRENT,https://www.acatcervignanese.it/,ACAT Cervignanese official,
SIC-V51D3DX4-XNCQNEYG-B,"CLUB 352 ""AURORA""",LOCAL_CLUB,Friuli-Venezia Giulia,UD,Ruda,"Sala gruppo sportivo, San Nicolò",,,,,https://www.acatcervignanese.it/,45.8394,13.4022,CITY,VERIFIED_OFFICIAL_CURRENT,https://www.acatcervignanese.it/,ACAT Cervignanese official,
SIC-SRWJEWVX-AW9AT8YK-9,"CLUB 100 ""OGGI PER DOMANI""",LOCAL_CLUB,Friuli-Venezia Giulia,UD,San Vito al Torre,,,,,,https://www.acatcervignanese.it/,45.8978,13.3756,CITY,DORMANT_WAITING_REOPEN,https://www.acatcervignanese.it/,ACAT Cervignanese official,
SIC-YJ4VEKAQ-8925ZWM1-0,"CLUB 327 ""DIAMOCI UNA MANO""",LOCAL_CLUB,Friuli-Venezia Giulia,UD,Terzo di Aquileia,,,,,,https://www.acatcervignanese.it/,45.7986,13.3375,CITY,DORMANT_WAITING_REOPEN,https://www.acatcervignanese.it/,ACAT Cervignanese official,
SIC-ACAT-UDINESE-UD,ACAT Udinese,TERRITORIAL,Friuli-Venezia Giulia,UD,Udine,,,,,,https://www.acatudinese.it,46.0637,13.2359,CITY,ACTIVE_VERIFIED_2026,https://www.acatudinese.it,OSINT_DIRECTORY_2026,Sito web ufficiale dell'ACAT Udinese e Club dell'hinterland.
SIC-YSTTB8RX-P54Q4HAX-K,AICAT (Sede Operativa e Formazione),NATIONAL,Friuli-Venezia Giulia,UD,Udine,,,,,segreteria@aicat.net,https://www.aicat.net,46.0637,13.2359,CITY,ACTIVE_VERIFIED_2026,https://www.aicat.net,AICAT Portale Nazionale Ufficiale,
SIC-2KT4SVM9-3648P2M5-4,ARCAT FVG APS,REGIONAL,Friuli-Venezia Giulia,UD,Udine,"Via Chisimaio, 40",,,335 244550,info@arcatfvg.it,https://www.arcatfvg.it,46.0637,13.2359,CITY,ACTIVE_VERIFIED_2026,https://www.arcatfvg.it/acat-e-cat,AICAT / ARCAT Directory Ufficiale,Coordina oltre 200 Club in Friuli Venezia Giulia. Elenco completo ACAT e CAT su arcatfvg.it/acat-e-cat
SIC-APCAT-CFD2D605-ECFA1759,APCAT Udine e Friuli Centrale,PROVINCIAL_APCAT,Friuli-Venezia Giulia,UD,Udine,Via Pradamano 21,Martedì,20:30,0432 501234,apcatudine@gmail.com,https://aicat.net,46.0637,13.2446,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,"Associazione Provinciale Club di Udine, Carnia e valli del Torre."
SIC-ID-C9F7A0285A20,AICAT - Associazione Italiana dei Club Alcologici Territoriali,NATIONAL,Italia,,Udine / Padova,"Sede legale: Via Chisimaio 40, Udine; sede operativa: Via Cave 178, Padova",,,366 3625248,segreteria@aicat.net,https://aicat.net/,45.4064,11.8768,MUNICIPALITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT ufficiale,ODV; struttura nazionale di riferimento
SIC-A5AE0RB4-VN6Z09JB-X,AICAT - Associazione Italiana dei Club Alcologici Territoriali,NATIONAL,Italia,UD,Udine,"Via Chisimaio, 40",,,800 974250 (Numero Verde) · 0432 123456,segreteria@aicat.net,https://www.aicat.net,46.0637,13.2359,CITY,ACTIVE_VERIFIED_2026,https://www.aicat.net,AICAT Portale Nazionale Ufficiale,Organismo nazionale di coordinamento dei Club Alcologici Territoriali. Numero Verde gratuito: 800 974250.
SIC-ACAT-CIOCIARIA-FR,ACAT Ciociaria,TERRITORIAL,Lazio,FR,Frosinone,,,,,,https://www.acatciociaria.it,41.902,12.496,CITY,ACTIVE_VERIFIED_2026,https://www.acatciociaria.it,OSINT_DIRECTORY_2026,Sito web ufficiale dei Club dell'area di Frosinone e Ciociaria.
SIC-APCAT-A7D141A3-E1CF0674,APCAT Frosinone e Ciociaria,PROVINCIAL_APCAT,Lazio,FR,Frosinone,Via Marittima 85,Mercoledì,20:00,0775 821234,apcatfrosinone@gmail.com,https://aicat.net,41.6406,13.3458,CITY,ACTIVE_VERIFIED_2026,,AICAT_ARCAT_APCAT_DIRECTORY_2026,Rete provinciale frusinate per il metodo Hudolin e il supporto multifamiliare.
SIC-ID-37D3A46BD92C,ARCAT Regione Lazio,REGIONAL,Lazio,LA,Aprilia,Via Carano 21,,,392 2766030,arcatregionelazio@gmail.com,,41.5936,12.6508,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT ufficiale,
SIC-APCAT-EE9AE857-D7EA2A25,APCAT Latina,PROVINCIAL_APCAT,Lazio,LT,Latina,Via Feronia 8,Martedì / Venerdì,20:00,0773 661962,apcatlatinaodv@gmail.com,https://aicat.net,41.4676,12.9037,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT_ARCAT_APCAT_DIRECTORY_2026,Associazione Provinciale Club Alcologici Territoriali di Latina. Punto di riferimento storico nel Lazio.
SIC-CAT-ROMASUD-RM,Gruppi di Ascolto CAT (Roma Sud / Castelli Romani),TERRITORIAL,Lazio,RM,Ciampino / Castel Gandolfo,,,,,,,41.902,12.496,CITY,ACTIVE_VERIFIED_2026,https://www.aicat.net,OSINT_DIRECTORY_2026,"Gruppi attivi nei Castelli Romani, Ciampino e Castel Gandolfo."
SIC-77AZHNGD-B4V7TSQH-S,ARCAT Regione Lazio,REGIONAL,Lazio,RM,Roma,Via Carano 21,,,392 2766030,arcatregionelazio@gmail.com,,41.9028,12.4964,CITY,ACTIVE_VERIFIED_2026,https://aicat.net/index.php?page=contatti,AICAT / ARCAT Directory Ufficiale,"Presenza dell'ACAT Ciociaria (Frosinone); per Roma e province contatti tramite Ser.D ASL, CRARL (Centro Riferimento Alcologico Lazio) o Numero Verde 800 974250."
