id,sic_id,entity_name,original_type,network_level,network_rank,rank_color,continent,country,region,province,city,address,latitude,longitude,geo_accuracy,status,parent_sic_id,source_url,source_type,language,meeting,public_contact,notes,direct_children,network_descendants,public_data_score,is_synthetic,created_at,updated_at,website,phone,email,geo_confidence,geocoded_from,geocoded_at,original_name,translated_name,original_hierarchy,postal_code,facebook,instagram,youtube,linkedin,x_twitter,founding_year,closure_year,reopening_year,hudolin_confirmed,confidence_score,last_verified,geo_provider,geo_provider_ref,territorial_association,regional_federation,national_federation,families_count
21,SIC-XM51G97H-KZ24TF47-1,Greece,COUNTRY,NATIONAL,50,#F59E0B,Europe,Greece,,,,,38.870370370370374,23.54074074074074,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
22,SIC-MXPYQAW6-P5CTQKPA-2,India,COUNTRY,NATIONAL,50,#F59E0B,Asia,India,,,,,23.96764705882353,83.58529411764707,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-EER60AR9-PERPDWT1-V,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
23,SIC-FGATR2BF-J2H32DF6-8,Ireland,COUNTRY,NATIONAL,50,#F59E0B,Europe,Ireland,,,,,53.55384615384616,-7.738461538461538,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
24,SIC-SAPSJ5F6-GDEFRWNM-E,Italy,COUNTRY,NATIONAL,50,#F59E0B,Europe,Italy,,,,,42.05172413793103,12.413793103448276,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,22,245,14,1,2026-08-18 13:21:46,2026-09-19 14:19:03,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
25,SIC-CVZW2ZK7-3NK7BN6D-Y,Kenya,COUNTRY,NATIONAL,50,#F59E0B,Africa,Kenya,,,,,1.1054054054054054,37.832432432432434,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-1VP5PKA2-VEJXHQ8M-8,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
26,SIC-RJWRN7NV-AGQ2XENJ-E,Montenegro,COUNTRY,NATIONAL,50,#F59E0B,Europe,Montenegro,,,,,42.74444444444444,19.450000000000003,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,2,2,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
27,SIC-KNTGNSWA-0QPEH194-A,New Zealand,COUNTRY,NATIONAL,50,#F59E0B,Oceania,New Zealand,,,,,-40.627272727272725,173.43333333333334,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-54F9H5YV-C11KP5F4-N,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
28,SIC-GEE56MEW-XQPAEF9T-6,Nicaragua,COUNTRY,NATIONAL,50,#F59E0B,North America,Nicaragua,,,,,13.082692307692307,-84.98076923076923,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-P5ZMQMS2-W4K87C8B-Q,,,,,,,2,2,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
29,SIC-EV247EFZ-CAWAFST6-8,North Macedonia,COUNTRY,NATIONAL,50,#F59E0B,Europe,North Macedonia,,,,,41.66470588235294,21.705882352941178,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,8,8,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
30,SIC-QNJSMTAX-400ART1D-B,Norway,COUNTRY,NATIONAL,50,#F59E0B,Europe,Norway,,,,,71.74659090909091,18.59659090909091,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,4,4,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
31,SIC-68ZVY0P1-HCZB26XD-V,Peru,COUNTRY,NATIONAL,50,#F59E0B,South America,Peru,,,,,-7.753947368421054,-74.07763157894738,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-S7H9RTYM-9K7A84S9-W,,,,,,,2,2,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
32,SIC-YB187MMY-CV4GTHQV-7,Poland,COUNTRY,NATIONAL,50,#F59E0B,Europe,Poland,,,,,51.742222222222225,19.473333333333333,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
33,SIC-838THQNS-E61B1A0F-9,Portugal,COUNTRY,NATIONAL,50,#F59E0B,Europe,Portugal,,,,,39.76969696969697,-8.042424242424243,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
34,SIC-MN9EJQHA-AFWA3NMG-V,Romania,COUNTRY,NATIONAL,50,#F59E0B,Europe,Romania,,,,,45.85227272727273,25.188636363636363,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,2,9,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
35,SIC-8CSKHVF4-1TC7JZVG-4,Russia,COUNTRY,NATIONAL,50,#F59E0B,Europe,Russia,,,,,60.86677852348993,94.1988255033557,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,5,24,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
36,SIC-1S42Q29S-P98YFGVF-Q,Serbia,COUNTRY,NATIONAL,50,#F59E0B,Europe,Serbia,,,,,43.82826086956521,20.941304347826087,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,12,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
37,SIC-F47DK76K-YEQK7K7X-J,Slovakia,COUNTRY,NATIONAL,50,#F59E0B,Europe,Slovakia,,,,,48.763636363636365,19.363636363636363,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
38,SIC-JZ4DXD20-TGYG5W95-D,Slovenia,COUNTRY,NATIONAL,50,#F59E0B,Europe,Slovenia,,,,,46.105555555555554,14.988888888888889,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,4,12,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
39,SIC-0J7M8ZR0-13NDR54F-J,Spain,COUNTRY,NATIONAL,50,#F59E0B,Europe,Spain,,,,,40.17058823529411,-4.458823529411765,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
40,SIC-V11D4C3Q-4G4WN40F-X,Sri Lanka,COUNTRY,NATIONAL,50,#F59E0B,Asia,Sri Lanka,,,,,7.640000000000001,80.85,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-EER60AR9-PERPDWT1-V,,,,,,,3,3,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
41,SIC-4FCY0W2D-H7N3GMSY-Q,Sweden,COUNTRY,NATIONAL,50,#F59E0B,Europe,Sweden,,,,,62.7325,16.56,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
42,SIC-8EM7B264-N3E2Y77P-G,Switzerland,COUNTRY,NATIONAL,50,#F59E0B,Europe,Switzerland,,,,,46.78333333333333,8.304166666666667,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-6Y6S4M7A-K0MRKAPA-K,,,,,,,1,1,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
43,SIC-NVJNRF7B-X3AWM0QG-J,Thailand,COUNTRY,NATIONAL,50,#F59E0B,Asia,Thailand,,,,,13.1734375,100.6625,COUNTRY_CENTROID,NETWORK_COUNTRY,SIC-EER60AR9-PERPDWT1-V,,,,,,,4,4,14,1,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
44,SIC-YSTTB8RX-P54Q4HAX-K,AICAT (Sede Operativa e Formazione),COUNTRY_NETWORK,NATIONAL,50,#F59E0B,Europe,Italy,Friuli-Venezia Giulia,UD,Udine,,46.0637,13.2359,CITY,ACTIVE_VERIFIED_2026,SIC-SAPSJ5F6-GDEFRWNM-E,https://www.aicat.net,AICAT Portale Nazionale Ufficiale,Italian,,,,0,0,29,0,2026-08-18 13:21:46,2026-09-19 14:22:34,https://www.aicat.net,+39 800 974250,segreteria@aicat.net,0,,,,,,,,,,,,,,,0,50,,,,,,,18500
45,SIC-1XGNMVME-RRA48J40-2,Hrvatski savez klubova liječenih alkoholičara (HSKLA),COUNTRY_NETWORK,NATIONAL,50,#F59E0B,Europe,Croatia,,,,,45.15691,17.25905,COUNTRY_DISTRIBUTED_ESTIMATE,ACTIVE_NETWORK,SIC-22FWS3ZJ-XQPBHFBE-1,https://hskla.hr/o-nama/,Official/public network source,Croatian,,,,0,0,39,0,2026-08-18 13:21:46,2026-08-18 13:21:46,https://hskla.hr/o-nama/,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
46,SIC-STVP94M2-T31FXB2J-8,Zajednica klubova lečenih alkoholičara Srbije,COUNTRY_NETWORK,NATIONAL,50,#F59E0B,Europe,Serbia,,,,,43.90925,20.56352,COUNTRY_DISTRIBUTED_ESTIMATE,ACTIVE_NETWORK,SIC-1S42Q29S-P98YFGVF-Q,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-zajednice/,Official/public network source,Serbian,,,,11,11,39,0,2026-08-18 13:21:46,2026-08-18 13:21:46,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-zajednice/,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
47,SIC-FTS8QZF9-20R6MME1-9,Zveza klubov zdravljenih alkoholikov Slovenije,COUNTRY_NETWORK,NATIONAL,50,#F59E0B,Europe,Slovenia,,,,,46.09765,14.2757,COUNTRY_DISTRIBUTED_ESTIMATE,ACTIVE_NETWORK,SIC-JZ4DXD20-TGYG5W95-D,https://zvezakza.si/kontakt/,Official/public network source,Slovenian,,,,8,8,39,0,2026-08-18 13:21:46,2026-08-18 13:21:46,https://zvezakza.si/kontakt/,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
48,SIC-DAFC0T6H-AREXSB04-Z,Hudolin/KLA networks,COUNTRY_NETWORK,NATIONAL,50,#F59E0B,Europe,Bosnia and Herzegovina,,,,,43.87441,17.89945,COUNTRY_DISTRIBUTED_ESTIMATE,PUBLIC_NETWORK_REFERENCES,SIC-A53THB43-9DMD9PY1-W,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-u-regionu/,Official/public network source,Bosnian/Croatian/Serbian,,,,0,0,39,0,2026-08-18 13:21:46,2026-08-18 13:21:46,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-u-regionu/,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
49,SIC-ZCP7G83V-HVBTZMHR-S,Regional directory reports no active club data,COUNTRY_NETWORK,NATIONAL,50,#F59E0B,Europe,Montenegro,,,,,42.93747,18.50266,COUNTRY_DISTRIBUTED_ESTIMATE,NO_ACTIVE_DATA_IN_REGIONAL_DIRECTORY,SIC-RJWRN7NV-AGQ2XENJ-E,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-u-regionu/,Official/public network source,Montenegrin,,,,0,0,39,0,2026-08-18 13:21:46,2026-08-18 13:21:46,https://zklas.org/kontakt-podaci-zajednice-klubova/klubovi-u-regionu/,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
50,SIC-W31QPHGC-VAZR8ZR5-5,Hudolin Club / socio-ecological approach presence,COUNTRY_PRESENCE,NATIONAL,50,#F59E0B,Europe,Albania,,,,,40.63465,20.05247,COUNTRY_DISTRIBUTED_ESTIMATE,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,SIC-86WEYN77-9C4ED9KZ-4,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,Presence documented historically; current club-level network not yet verified.,0,0,29,0,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
51,SIC-VV7TB09K-Z9J7XRSR-E,Hudolin Club / socio-ecological approach presence,COUNTRY_PRESENCE,NATIONAL,50,#F59E0B,South America,Brazil,,,,,-6.16023,-56.03234,COUNTRY_DISTRIBUTED_ESTIMATE,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,SIC-HS528K21-MDV86QKH-W,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,Presence documented historically; current club-level network not yet verified.,0,0,29,0,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
52,SIC-KYPSH3VY-D2VA89YT-B,Hudolin Club / socio-ecological approach presence,COUNTRY_PRESENCE,NATIONAL,50,#F59E0B,Europe,Bulgaria,,,,,42.82729,25.04218,COUNTRY_DISTRIBUTED_ESTIMATE,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,SIC-97VMBR39-C440N9WS-6,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,Presence documented historically; current club-level network not yet verified.,0,0,29,0,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
53,SIC-PZZEKTAP-88XX07YD-V,Hudolin Club / socio-ecological approach presence,COUNTRY_PRESENCE,NATIONAL,50,#F59E0B,South America,Ecuador,,,,,-1.75762,-78.98376,COUNTRY_DISTRIBUTED_ESTIMATE,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,SIC-M8R38W6B-1PD05NTJ-Q,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,Presence documented historically; current club-level network not yet verified.,0,0,29,0,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
54,SIC-0SVYXPCE-A7ZP65EK-T,Hudolin Club / socio-ecological approach presence,COUNTRY_PRESENCE,NATIONAL,50,#F59E0B,Europe,Greece,,,,,39.32193,23.8529,COUNTRY_DISTRIBUTED_ESTIMATE,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,SIC-XM51G97H-KZ24TF47-1,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,Presence documented historically; current club-level network not yet verified.,0,0,29,0,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
55,SIC-VJD1VBDR-4KZ4ZJTB-W,Hudolin Club / socio-ecological approach presence,COUNTRY_PRESENCE,NATIONAL,50,#F59E0B,Europe,North Macedonia,,,,,41.87932,22.17459,COUNTRY_DISTRIBUTED_ESTIMATE,HISTORICAL_PRESENCE_NEEDS_CURRENT_VERIFICATION,SIC-EV247EFZ-CAWAFST6-8,https://www.academia.edu/87078905/Club_of_Treated_Alcoholics_A_Guide_for_the_Work_in_the_Clubs_of_Treated_Alcoholics_Social_Ecological_Approach_With_Works_of_Vladimir_Hudolin,Historical international Hudolin literature,various,,,Presence documented historically; current club-level network not yet verified.,0,0,29,0,2026-08-18 13:21:46,2026-08-18 13:21:46,,+39 800 974250,info@dependex.support,0,,,,,,,,,,,,,,,0,50,,,,,,,11
