EMAIL,FIRSTNAME,LASTNAME,COMPANY,SMS,SIC_ID,ATECO,PROVINCIA,TEMA,CONSENSO,FLUSSO,STATUS
nuscab@ance.it,Null,Null,Ance National Association Of Builders,+393906845671,SIC-ID-1FC181870AEA,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
trasparenza@area.sardegna.it,Null,Null,Area - Azienda Regionale Per L'edilizia Abitativa,+393907020071,SIC-ID-E07609B17659,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@arredamenticampagner.it,Null,Null,Arredamenti Campagner,+390421705069,SIC-ID-21FDAEF45DAC,31,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@atisceramiche.it,Null,Null,Atis Ceramiche,+3908119910034,SIC-ID-D20D31AE9CE4,NULL,NA,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@bollettino.sardegna.it,Null,Null,Atizeta S.r.l.s,+390782804042,SIC-ID-FAB02F6D1CFB,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
mod231@avcsrl.it,Null,Null,Avc,+390659606392,SIC-ID-CF9A7FF462A5,NULL,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
aadf.info@gmail.com,Null,Null,Aadf,,SIC-ID-FF32C93A5E72,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
aboumosaab26@hotmail.it,Null,Null,Aboumosaab26,,SIC-ID-BB41DFEC398C,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@acca.it,Null,Null,Acca Software Spa,,SIC-ID-F9C6994C6969,96,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
contatto@esempio.it,Null,Null,Accardi Pitturazioni,+393273107097,SIC-ID-42B35657B3A0,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@acquadolce.info,Null,Null,Acquadolce,+390583779534,SIC-ID-C37FBB8106C1,NULL,LU,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
m.baldassarre@ediliziacrobatica.com,Null,Null,Acrobatica Roma Trionfale,+39800826969,SIC-ID-038F966D64E3,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
adamib@studiocavallari.info,Null,Null,Adami Beatrice,,SIC-ID-DE1A615A8BA1,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
adi-motta@hotmail.it,Null,Null,Adi-motta,,SIC-ID-6578FBD93478,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
o@adicem.it,Null,Null,Adicem Edilizia S.r.l.,+390957892790,SIC-ID-93F75E9C86CA,43,CT,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
adriana.semola@cf.confart.tv,Null,Null,Adriana Semola,275300200,SIC-ID-36776CEAE1DA,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
adrianozamana@gmail.com,Null,Null,Adrianozamana,+393383233672,SIC-ID-9D94D5867B30,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
afservicesrlu@gmail.com,Null,Null,Afservicesrlu,,SIC-ID-3A8FB18B058E,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@agaticarianni.it,Null,Null,Agati & Carianni - Impresa Edile,+393335782407,SIC-ID-BC213972D60D,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
agenzia@allianz.pn.it,Null,Null,Agenzia Allianz Pordenone Centro,32800726760,SIC-ID-7D8C0C146EB7,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@deltamare.com,Null,Null,Agenzia Mare,,SIC-ID-8007435FA9C5,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@agenziacasaweb.it,Null,Null,Agenzia Web,,SIC-ID-0694F2BF6FF7,62,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
agenziagiusy@gmail.com,Null,Null,Agenziagiusy,+393284660984,SIC-ID-94FE4D8C33C2,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
agirmo@infovacanze.it,Null,Null,Agirmo,,SIC-ID-340CB395553D,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
agitatorec@inwind.it,Null,Null,Agitatorec,,SIC-ID-3D3ABFCD9096,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
agostinoviola@inwind.it,Null,Null,Agostinoviola,,SIC-ID-824801CDA37B,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@agrlegno.com,Null,Null,Agr Legno S.r.l. Sardegna,+390704594781,SIC-ID-EEDF6692F75D,NULL,CA,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
agri.scavi@libero.it,Null,Null,Agri Scavi,,SIC-ID-945548129F63,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
agricolmeccanica@gmail.com,Null,Null,Agricolmeccanica Di Milazzo Matteo,,SIC-ID-B82F8317DC83,01,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
aizitel07@libero.it,Null,Null,Aizitel07,,SIC-ID-115F392DA5A2,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
akiram.74@virgilio.it,Null,Null,Akiram 74,,SIC-ID-2671FD2F469D,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
albe.rocc@yahoo.it,Null,Null,Albe Rocc,,SIC-ID-63CF18418302,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
albertiluciano@libero.it,Null,Null,Albertiluciano,,SIC-ID-93D0E06A9CFD,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
morettoalberto@commercialeferramenta.it,Null,Null,Alberto,,SIC-ID-797E7EEEC2D8,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alberto.ascomrovigo@gmail.com,Null,Null,Alberto Ascomrovigo,,SIC-ID-7D85CC9BDA79,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alberto.76@libero.it,Null,Null,Alberto Geom,,SIC-ID-3538E4F0DCB0,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alberto.pagan@crveneto.it,Null,Null,Alberto Pagan,,SIC-ID-B4D530EE77AF,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alberto.sannini@email.it,Null,Null,Alberto Sannini,,SIC-ID-3B7C3266CAAE,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alberto.vianello@vdv.it,Null,Null,Alberto Vianello,,SIC-ID-F855729C6561,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alberto88siviero@alice.it,Null,Null,Alberto88siviero,,SIC-ID-47AE59564774,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
albertopreviato@libero.it,Null,Null,Albertopreviato,,SIC-ID-6146747EC3CE,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
albertovenezia@mac.com,Null,Null,Albertovenezia,,SIC-ID-CD62DA505615,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
ale.miozzi@tiscali.it,Null,Null,Ale Miozzi,,SIC-ID-0BEF5E629789,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
umberto@aleandri.net,Null,Null,Aleandri Project & Consulting Srl,+39065818999,SIC-ID-64C16DCF24FA,NULL,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessandra@studioassociatobbc.it,Null,Null,Alessandra,,SIC-ID-8826B3249F6A,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alemorandin29@gmail.com,Null,Null,Alessandra Lyo,+393921843007,SIC-ID-1AFA6DFA0E8D,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
ale.cianci2@gmail.com,Null,Null,Alessandro Cianci | Termografia Edile Roma,+393346750484,SIC-ID-F6D6B213E5AF,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alebasso.ab@gmail.com,Null,Null,Alessandro Itinerando,+393495564808,SIC-ID-33EF8022229B,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessandro.menini@uteco.com,Null,Null,Alessandro Menini,+393392420336,SIC-ID-37AF020DA341,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
marco.orsini13@libero.it,Null,Null,Alessandro Obinu,+393392420336,SIC-ID-763EBD60B1D9,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
ale.trava.seller4you@gmail.com,Null,Null,Alessandro Pa Card Travaini,+393282192897,SIC-ID-E76639E286BC,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alexander.maganuco@gmail.com,Null,Null,Alessandro Robbins,+393496921925,SIC-ID-94F8FA41FFA8,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
centrosicurezza2020@gmail.com,Null,Null,Alessandro Sala,+393341640492,SIC-ID-D2F5C16D1DCB,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
zani79@gmail.com,Null,Null,Alessandro Zaninello,+393339755718,SIC-ID-4C22494B1055,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessandrozennaro@hotmail.it,Null,Null,Alessandro Zennaro,+393484421068,SIC-ID-6649E87F7AAC,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@acgroupsrls.it,Null,Null,Alessandro Calamante,,SIC-ID-4D53C5235461,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@alessandronardi.info,Null,Null,Alessandro Nardi | Ingegnere & Consulente Immobiliare,+393514373460,SIC-ID-69847E2D20C5,71,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
aleascalone@gmail.com,Null,Null,Alessandro Wind,+393201745111,SIC-ID-31EB210872E1,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessandrogrossi@live.it,Null,Null,Alessandrogrossi,+393494692065,SIC-ID-E46B0EF7EA3B,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessandromorelli@inwind.it,Null,Null,Alessandromorelli,,SIC-ID-BF4564C9AB40,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessandrotecchiati@tiscali.it,Null,Null,Alessandrotecchiati,+393389404230,SIC-ID-3D325F5B467C,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessia@serecom.it,Null,Null,Alessia Beduschi,+393280707946,SIC-ID-4605EDD463A3,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessia.beduschi@simtree.it,Null,Null,Alessia Beduschi,+393284648947,SIC-ID-6FF2500E974E,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessiamilani2@gmail.com,Null,Null,Alessia Milani,+393477322076,SIC-ID-CFBBC8F7578A,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessia.natta@gmail.com,Null,Null,Alessia Natta,+393408744824,SIC-ID-06B55ED6754F,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessia_maselli@virgilio.it,Null,Null,Alessia_maselli,,SIC-ID-70724D9EA2C5,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessiascapocchin85@gmail.com,Null,Null,Alessiascapocchin85,+3934961935080,SIC-ID-B6A1F6A34EB4,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessio@fb-fantasy.it,Null,Null,Alessio,+393387828022,SIC-ID-67803119E573,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessio75v@gmail.com,Null,Null,Alessio Aumar,+393288174041,SIC-ID-70BB4A192B2C,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessio.forzan@deledsrl.it,Null,Null,Alessio Ricarica,+393319956833,SIC-ID-0959EEEE6DEC,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@camurbanstudio.com,Null,Null,Alessio Tesconi Formatore Urbanistica Ed Edilizia,+393474305332,SIC-ID-0C1955DA17B1,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessio0408@gmail.com,Null,Null,Alessio0408 Guantini,+393319956833,SIC-ID-238E5D3AF1A4,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alessio_panaro@libero.it,Null,Null,Alessio_panaro Panaro,+393483384253,SIC-ID-E207C0C62518,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@alexvanni.com,Null,Null,Alex Management,,SIC-ID-8C4644770522,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alexandra@studiogammaonline.it,Null,Null,Alexandra Gamma,33558031350,SIC-ID-93C0C8678760,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alex1970s@libero.it,Null,Null,Alexs,,SIC-ID-507F8074B7DA,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alfonso.martello@aslnapoli2nord.it,Null,Null,Alfonso,,SIC-ID-D38FC1CD765D,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alfonsogorirossi@virgilio.it,Null,Null,Alfonsogorirossi,,SIC-ID-23C215B36F4D,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alice.finardi@ciacarr.it,Null,Null,Alice Finardi,+393490568987,SIC-ID-6EA7A8552F5A,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alice.vendemiati@gmail.com,Null,Null,Alice Vendemiati,+3933341521060,SIC-ID-74370C3D83EC,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
almainferro@hotmail.com,Null,Null,Almainferro,,SIC-ID-14EBDCD49AA9,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@alpiturist.com,Null,Null,Alpiturist,+390424692435,SIC-ID-1686A50FBA54,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
lavoriinquota@hotmail.com,Null,Null,Altaquota Srls Lavori Edili,+393938765632,SIC-ID-C4963F2ED3C2,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@altedacostruzioni.it,Null,Null,Alteda Costruzioni,+390432760714,SIC-ID-2AEFA04B1BDE,43,UD,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
alxdc@yahoo.it,Null,Null,Alxdc,,SIC-ID-CB2A6BEBBD1B,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
costruzioniamat@gmail.com,Null,Null,Amato Costruzioni Srl,+39092421645,SIC-ID-F9A6F3CB23DB,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@ambientelavorinfinitesoluzioni.it,Null,Null,Ambiente Lavori Infinite Soluzioni S.r.l.,+390689671725,SIC-ID-BDE28DBEE6B9,NULL,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.romagnolo@cdne.it,Null,Null,Ambra Cdne,+393462458241,SIC-ID-D3031B97C625,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
amfroldi@gmail.com,Null,Null,Amfroldi Maria,+393355249394,SIC-ID-307FEDB6ED0B,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
amiternumedilizia@gmail.com,Null,Null,Amiternum Edilizia,+393462271833,SIC-ID-D444F3B97CE1,43,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
amministrazione@ascomrovigo.it,Null,Null,Amministrazione,,SIC-ID-B9EEB8884715,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
amministrazione@serviceplants.it,Null,Null,Amministrazione - Service Srl,,SIC-ID-20D36445E5F3,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
amministrazione@tize.it,Null,Null,Amministrazione Tizè,,SIC-ID-97AF57C612C3,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
amoreamaro.bar@gmail.com,Null,Null,Amoreamaro Bar,,SIC-ID-EFC35E60778E,56,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
ampeliobos@alice.it,Null,Null,Ampeliobos,,SIC-ID-9FCE985B5303,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
ancelazio@ancelazio.it,Null,Null,Ance Lazio-urcel,+39063221128,SIC-ID-E04AB96E7B62,NULL,RM,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
assistenza@guadagnareconlecase.it,Null,Null,Andrea - Guadagnare Le Case,,SIC-ID-1EE259F960DA,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
andrea.bragagnolo@bmautomazioni.com,Null,Null,Andrea Bragagnolo Automatismi,+393383068885,SIC-ID-004208F0D066,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
andrea.depaolipd@libero.it,Null,Null,Andrea Depaolipd,+393486067770,SIC-ID-4C72DAB32F2D,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
andreaascoli604@gmail.com,Null,Null,Andrea Di Rosa,+393206464511,SIC-ID-0822A4103B91,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
andrea.finotto1986@gmail.com,Null,Null,Andrea Finotto,+393477289252,SIC-ID-1A152181B134,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
andreagazzola1979@gmail.com,Null,Null,Andrea Lyo,+393482489312,SIC-ID-C27612F7B5C9,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.bezze75@gmail.com,Null,Null,Andrea Lyo,+393483130155,SIC-ID-480206DCDA2A,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
andrea_zorzi@outlook.it,Null,Null,Andrea Lyo,+393496288555,SIC-ID-1E1FBD49C23C,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
fattoretto76@libero.it,Null,Null,Andrea Lyo,+393478478680,SIC-ID-AD83951743AF,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.roccato@studioroccato.com,Null,Null,Andrea Roccato,+393486067770,SIC-ID-796805E0E2D8,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
utente-mftgpv5qi@messaggi.subito.it,Null,Null,Andrea Subito,+393920888934,SIC-ID-E7C84B324262,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@luminalservice.it,Null,Null,Andrea Zanellato,,SIC-ID-8B807B3B97A6,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
andreonecristina@yahoo.it,Null,Null,Andreonecristina,,SIC-ID-6EABCB06EFB7,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
info@aneltec.it,Null,Null,Aneltec S.r.l. Societa' A Socio Unico,+39024223343,SIC-ID-6D040228E567,NULL,MI,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
angelina.soravia@gmail.com,Null,Null,Angelina Soravia,,SIC-ID-19F841EA64CD,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anipa@anipa.it,Null,Null,Anipa,,SIC-ID-57D6B34B2F65,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna@annaritagelasio.it,Null,Null,Anna,,SIC-ID-40726B5BFB94,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna.antonelli1959@gmail.com,Null,Null,Anna Antonelli1959,,SIC-ID-735651B15C56,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna.aurelio1989@gmail.com,Null,Null,Anna Aurelio1989,,SIC-ID-2E4332F3DC9D,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna.delprete1980@gmail.com,Null,Null,Anna Delprete1980,,SIC-ID-A195B656980F,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna.didonato@outlook.com,Null,Null,Anna Didonato,,SIC-ID-BF549BA6DE10,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
a.olimpia@tiscali.it,Null,Null,Anna Olimpia,,SIC-ID-F04087844152,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna.andrello@gmail.com,Null,Null,Anna Polacca Marta,+393338664500,SIC-ID-9B2AB2E8DB89,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna.vy@libero.it,Null,Null,Anna Vy,,SIC-ID-3B3C3C3D9B10,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna.zompa@virgilio.it,Null,Null,Anna Zompa,,SIC-ID-0693A5ED94C0,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna_sanfilippo64@libero.it,Null,Null,Anna_sanfilippo64,,SIC-ID-D1875A6219A6,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
anna86ac@hotmail.it,Null,Null,Annaac,+393396615361,SIC-ID-1C53A71D34F2,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
annacorbetta@virgilio.it,Null,Null,Annacorbetta Corbetta,+393355249394,SIC-ID-56254876A7E7,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
annadauria@libero.it,Null,Null,Annadauria D'auria,,SIC-ID-305195824328,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
annafranzese51@gmail.com,Null,Null,Annafranzese51,,SIC-ID-5A6E54DA1905,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
25annalisa@gmail.com,Null,Null,Annalisa,,SIC-ID-A7C52D2D6FFE,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
annalisa.zampini@tin.it,Null,Null,Annalisa Zampini,,SIC-ID-5E671EFE9B57,NULL,,SICUREZZA,0,PROMO_SETTEMBRE_VIP,ATTIVO
